Time (s),X (m),Y (m)
113.6,0.145312974855614,0.0761726114743553
113.8,0.123941465228327,0.0565406587368571
114,0.102184143064321,0.0379037741146568
114.2,0.0807234291731191,0.0205529179754578
114.4,0.0601855816158263,0.00476342861945511
114.6,0.0410958563493153,-0.00923484798404317
114.8,0.0238499703969239,-0.0212601455514445
115,0.00877091948902375,-0.0311684084867423
115.2,-0.00386975824268632,-0.0388572020839426
115.4,-0.0138709691659784,-0.044295699812043
115.6,-0.0211201522903792,-0.047573027451044
115.8,-0.0256869948939737,-0.048953688246943
116,-0.0278678243710857,-0.0489107501049446
116.2,-0.0282242789067766,-0.0481115613075431
116.4,-0.0274485560059787,-0.047369638273242
116.6,-0.0264035603388777,-0.0475865500271446
116.8,-0.0259987214246848,-0.049699904518242
117,-0.0271983702399865,-0.054627882671543
117.2,-0.0309464833495809,-0.0632001582602442
117.4,-0.0380628669903729,-0.0760795666461434
117.6,-0.0491152511227853,-0.0936848354759441
117.8,-0.0643702922996852,-0.116129699466544
118,-0.0837587052454865,-0.143195465562645
118.2,-0.106868982997383,-0.174333164092044
118.4,-0.133073151445686,-0.208687167768343
118.6,-0.161514392219573,-0.245131153934743
118.8,-0.191201944381973,-0.282321482012442
119,-0.221042131727984,-0.318771847466945
119.2,-0.249917191904885,-0.352963852448344
119.4,-0.276772834699074,-0.383481439319542
119.6,-0.300731781201577,-0.409158675243642
119.8,-0.32112054984988,-0.429222153008542
120,-0.337572751182776,-0.443353911897145
120.2,-0.349929965323284,-0.451701129043144
120.4,-0.358299069263282,-0.454856134845844
120.6,-0.363113628455977,-0.453793758890544
120.8,-0.36507351261308,-0.449811708096142
121,-0.365164463445581,-0.444425332271543
121.2,-0.364491421566783,-0.439222260299744
121.4,-0.364143263913974,-0.435723468336143
121.6,-0.365113754380886,-0.435294505558645
121.8,-0.368277119376486,-0.439094157954244
122,-0.374354592457777,-0.448031055948043
122.2,-0.383827541942381,-0.462692556640143
122.4,-0.396849121198486,-0.483280271623343
122.6,-0.413240572696083,-0.509597658195844
122.8,-0.432560024578777,-0.541091282706041
123,-0.454190942111879,-0.576913040235045
123.2,-0.477382849098376,-0.615961266719243
123.4,-0.501180475699684,-0.656911162743942
123.6,-0.524456274802276,-0.698290605084043
123.8,-0.545961138486874,-0.738615027182043
124,-0.564516103755878,-0.776536908606442
124.2,-0.579047119494774,-0.810965583053143
124.4,-0.58871729729178,-0.841113609077542
124.6,-0.592879750338383,-0.866509252509644
124.8,-0.591227184790284,-0.886996048172943
125,-0.583753227911473,-0.902716980577342
125.2,-0.570792796042284,-0.914063729828843
125.4,-0.552939943830381,-0.921604093240042
125.6,-0.531057864208876,-0.926040234071742
125.8,-0.506147417717173,-0.928197521896543
126,-0.479452806835582,-0.929023931664045
126.2,-0.452366003247477,-0.929558251168643
126.4,-0.426249411007973,-0.930872595829044
126.6,-0.402403598718578,-0.934005564589242
126.8,-0.381952814121973,-0.939921248621143
127,-0.365844681439583,-0.949462030477843
127.2,-0.354667576403486,-0.963275188334343
127.4,-0.348632347188087,-0.981705871502044
127.6,-0.347434072685985,-1.00470945418734
127.8,-0.350283977829079,-1.03183897755204
128,-0.356103238935674,-1.06231167732744
128.2,-0.36368287640758,-1.09510578634495
128.40001,-0.371806656190884,-1.12902874167334
128.60001,-0.379249039582376,-1.16276935647734
128.8,-0.384881805692075,-1.19497638341814
129,-0.387724157342973,-1.22437123013464
129.2,-0.387063113741476,-1.24986475417584
129.40001,-0.382503026797181,-1.27062763968464
129.60001,-0.373823152417685,-1.28611967389024
129.8,-0.361083552880686,-1.29612865200064
130,-0.344630403688086,-1.30080654314654
130.2,-0.325104521240178,-1.30066461901884
130.40001,-0.303455189642577,-1.29652257389034
130.60001,-0.280879829705583,-1.28941780841104
130.8,-0.258770962417074,-1.28051458257004
131,-0.238608838931981,-1.27103005449844
131.2,-0.221890841307285,-1.26214681124044
131.40001,-0.209960178323186,-1.25491587207714
131.60001,-0.203837756791486,-1.25019365548284
131.8,-0.204149863201181,-1.24861402655384
132,-0.211150280246784,-1.25060855930294
132.2,-0.224825116991383,-1.25645408771044
132.40001,-0.244882179457179,-1.26627664577454
132.60001,-0.270811183238479,-1.28001458294084
132.8,-0.301828771234284,-1.29737230793304
133,-0.336921678498385,-1.31780061731054
133.2,-0.374873614377677,-1.34050154591304
133.40001,-0.414331591697376,-1.36444079352564
133.60001,-0.45377195481538,-1.38837076577334
133.8,-0.491576019903476,-1.41088633035594
134,-0.526114888327783,-1.43053110380614
134.2,-0.555894480933986,-1.44593353600614
